freezing,genotype,id,day,condition,sex,cohort,exposure_mins,analyzed_duration,date,time,els,psilocybin,cohort_id,dob
5.03,wt,81,sefla,control,male,ptsd2,60,60,4/28/21,11:59 AM,n,n,ptsd2_81,2/16/21
0.45,wt,81,seflb,control,male,ptsd2,3.5,3.5,4/29/21,4:40 PM,n,n,ptsd2_81,2/16/21
8.28,wt,81,recall1,control,male,ptsd2,5,5,4/30/21,1:37 PM,n,n,ptsd2_81,2/16/21
7.12,wt,81,recall2,control,male,ptsd2,5,5,5/3/21,10:17 AM,n,n,ptsd2_81,2/16/21
7.57,wt,81,recall3,control,male,ptsd2,5,5,5/5/21,10:04 AM,n,n,ptsd2_81,2/16/21
6.61,wt,81,recall4,control,male,ptsd2,5,5,5/19/21,10:24 AM,n,n,ptsd2_81,2/16/21
3.92,wt,81,recall5,control,male,ptsd2,5,5,6/2/21,10:03 AM,n,n,ptsd2_81,2/16/21
8.83,wt,82,sefla,control,male,ptsd2,60,60,4/28/21,11:59 AM,n,n,ptsd2_82,2/16/21
4.2,wt,82,seflb,control,male,ptsd2,3.5,3.5,4/29/21,5:09 PM,n,n,ptsd2_82,2/16/21
28.8,wt,82,recall1,control,male,ptsd2,5,5,4/30/21,2:00 PM,n,n,ptsd2_82,2/16/21
11.14,wt,82,recall2,control,male,ptsd2,5,5,5/3/21,10:43 AM,n,n,ptsd2_82,2/16/21
3.22,wt,82,recall3,control,male,ptsd2,5,5,5/5/21,10:27 AM,n,n,ptsd2_82,2/16/21
2.24,wt,82,recall4,control,male,ptsd2,5,5,5/19/21,10:53 AM,n,n,ptsd2_82,2/16/21
3.74,wt,82,recall5,control,male,ptsd2,5,5,6/2/21,10:29 AM,n,n,ptsd2_82,2/16/21
2.6,wt,91,sefla,control,male,ptsd2,60,60,4/28/21,11:59 AM,n,n,ptsd2_91,2/16/21
2.73,wt,91,seflb,control,male,ptsd2,3.5,3.5,4/29/21,4:40 PM,n,n,ptsd2_91,2/16/21
14.97,wt,91,recall1,control,male,ptsd2,5,5,4/30/21,1:37 PM,n,n,ptsd2_91,2/16/21
11.68,wt,91,recall2,control,male,ptsd2,5,5,5/3/21,10:17 AM,n,n,ptsd2_91,2/16/21
9.8,wt,91,recall3,control,male,ptsd2,5,5,5/5/21,10:04 AM,n,n,ptsd2_91,2/16/21
7.3,wt,91,recall4,control,male,ptsd2,5,5,5/19/21,10:24 AM,n,n,ptsd2_91,2/16/21
4,wt,91,recall5,control,male,ptsd2,5,5,6/2/21,10:03 AM,n,n,ptsd2_91,2/16/21
1.91,wt,92,sefla,control,male,ptsd2,60,60,4/28/21,11:59 AM,n,n,ptsd2_92,2/16/21
2.53,wt,92,seflb,control,male,ptsd2,3.5,3.5,4/29/21,5:09 PM,n,n,ptsd2_92,2/16/21
14.42,wt,92,recall1,control,male,ptsd2,5,5,4/30/21,2:00 PM,n,n,ptsd2_92,2/16/21
3.11,wt,92,recall2,control,male,ptsd2,5,5,5/3/21,10:43 AM,n,n,ptsd2_92,2/16/21
2.94,wt,92,recall3,control,male,ptsd2,5,5,5/5/21,10:27 AM,n,n,ptsd2_92,2/16/21
14.89,wt,92,recall4,control,male,ptsd2,5,5,5/19/21,10:53 AM,n,n,ptsd2_92,2/16/21
22.82,wt,92,recall5,control,male,ptsd2,5,5,6/2/21,11:03 AM,n,n,ptsd2_92,2/16/21
50.64,wt,84,sefla,sefl,male,ptsd2,60,60,4/28/21,1:24 PM,n,n,ptsd2_84,2/16/21
