,cohort_id,freezing_sefla,freezing_seflb,date_seflb,freezing_recall1,date_recall1,freezing_recall2,date_recall2,freezing_recall3,date_recall3,freezing_recall4,date_recall4,freezing_recall5,date_recall5,condition,sex,dob,date_sefla,age_selfa
0,ptsd2_81,5.03,0.45,1,8.28,2,7.12,5,7.57,7,6.61,21.0,3.92,35.0,control,male,2021-02-16,2021-04-28,71
1,ptsd2_82,8.83,4.2,1,28.8,2,11.14,5,3.22,7,2.24,21.0,3.74,35.0,control,male,2021-02-16,2021-04-28,71
2,ptsd2_91,2.6,2.73,1,14.97,2,11.68,5,9.8,7,7.3,21.0,4.0,35.0,control,male,2021-02-16,2021-04-28,71
3,ptsd2_92,1.91,2.53,1,14.42,2,3.11,5,2.94,7,14.89,21.0,22.82,35.0,control,male,2021-02-16,2021-04-28,71
4,ptsd2_84,50.64,10.14,1,25.39,2,27.24,5,11.23,7,5.62,21.0,17.64,35.0,sefl,male,2021-02-16,2021-04-28,71
5,ptsd2_93,39.63,8.63,1,24.05,2,15.98,5,17.3,7,7.4,21.0,8.82,35.0,sefl,male,2021-02-16,2021-04-28,71
6,ptsd2_94,47.82,18.26,1,38.23,2,19.08,5,6.23,7,11.68,21.0,0.44,35.0,sefl,male,2021-02-16,2021-04-28,71
7,ptsd2_85,31.65,18.38,1,31.89,2,18.97,5,9.61,7,13.41,21.0,2.41,35.0,sefl,male,2021-02-16,2021-04-28,71
8,ptsd2_95,48.94,15.39,1,49.51,2,26.6,5,21.4,7,22.8,21.0,4.19,35.0,sefl,male,2021-02-16,2021-04-28,71
9,ptsd2_83,54.36,16.9,1,38.53,2,27.71,5,12.03,7,25.84,21.0,8.38,35.0,sefl,male,2021-02-16,2021-04-28,71
10,ptsd3_2,6.15,1.72,1,19.43,2,14.3,5,18.87,7,11.77,16.0,13.8,36.0,control,male,2021-01-15,2021-05-19,124
11,ptsd3_4,41.86,1.75,1,28.55,2,9.28,5,30.06,7,,,,,control,male,2021-02-14,2021-05-19,94
12,ptsd3_6,5.36,0.0,1,21.52,2,9.54,5,6.06,7,8.47,16.0,16.74,36.0,control,male,2021-03-05,2021-05-19,75
13,ptsd3_8,1.02,0.0,1,20.41,2,2.68,5,9.97,7,2.14,16.0,23.87,36.0,control,male,2021-03-05,2021-05-19,75
14,ptsd3_10,4.45,9.56,1,54.05,2,25.32,5,26.56,7,30.26,16.0,42.19,36.0,sefl,male,2021-02-22,2021-05-19,86
15,ptsd3_12,4.44,0.78,1,36.05,2,24.83,5,15.93,7,9.35,16.0,24.12,36.0,sefl,male,2021-01-03,2021-05-19,136
16,ptsd3_1,61.92,36.73,1,55.02,2,46.33,5,34.2,7,47.53,16.0,30.3,36.0,sefl,male,2021-01-15,2021-05-19,124
17,ptsd3_3,62.95,28.85,1,31.64,2,0.0,5,19.17,7,34.16,16.0,42.09,36.0,sefl,male,2021-01-15,2021-05-19,124
18,ptsd3_5,54.36,23.82,1,81.37,2,45.62,5,14.62,7,18.61,16.0,16.73,36.0,sefl,male,2021-02-14,2021-05-19,94
19,ptsd3_7,55.52,16.74,1,42.55,2,16.21,5,5.34,7,15.73,16.0,38.05,36.0,sefl,male,2021-03-05,2021-05-19,75
20,ptsd3_9,75.92,26.46,1,69.36,2,33.29,5,29.5,7,60.77,16.0,19.96,36.0,sefl,male,2021-02-22,2021-05-19,86
21,ptsd3_11,62.12,25.37,1,79.05,2,18.97,5,12.32,7,38.14,16.0,18.71,36.0,sefl,male,2021-01-03,2021-05-19,136
22,ptsd4_61,15.8,2.85,1,21.91,6,16.3,10,58.03,17,31.01,24.0,27.32,31.0,control,male,2021-03-17,2021-06-01,76
23,ptsd4_71,6.27,1.26,1,13.35,6,9.27,10,8.83,17,14.36,24.0,15.87,31.0,control,male,2021-03-17,2021-06-01,76
24,ptsd4_81,0.87,1.08,1,16.4,6,4.99,10,17.37,17,6.15,24.0,16.65,31.0,control,male,2021-03-17,2021-06-01,76
25,ptsd4_82,3.93,0.42,1,1.07,6,0.8,10,7.4,17,8.1,24.0,16.31,31.0,control,male,2021-03-17,2021-06-01,76
26,ptsd4_62,47.46,10.81,1,35.84,6,18.47,10,26.02,17,22.18,24.0,40.28,31.0,sefl,male,2021-03-17,2021-06-01,76
27,ptsd4_63,69.68,17.36,1,9.81,6,27.77,10,33.21,17,38.68,24.0,34.41,31.0,sefl,male,2021-03-17,2021-06-01,76
28,ptsd4_64,59.02,49.23,1,78.36,6,53.84,10,29.31,17,13.62,24.0,27.51,31.0,sefl,male,2021-03-17,2021-06-01,76
29,ptsd4_72,60.06,8.12,1,20.43,6,28.38,10,20.67,17,11.21,24.0,33.22,31.0,sefl,male,2021-03-17,2021-06-01,76
30,ptsd4_73,60.97,29.37,1,36.44,6,31.56,10,44.68,17,38.02,24.0,35.42,31.0,sefl,male,2021-03-17,2021-06-01,76
31,ptsd4_74,69.49,15.0,1,31.66,6,27.83,10,44.48,17,24.57,24.0,14.51,31.0,sefl,male,2021-03-17,2021-06-01,76
32,ptsd4_83,66.93,5.32,1,29.13,6,25.12,10,33.33,17,21.59,24.0,33.32,31.0,sefl,male,2021-03-17,2021-06-01,76
33,ptsd4_84,66.33,11.26,1,21.47,6,17.93,10,24.5,17,20.95,24.0,9.46,31.0,sefl,male,2021-03-17,2021-06-01,76
34,ptsd5_6,2.58,10.86,1,15.69,3,20.97,10,19.07,17,30.34,24.0,22.24,31.0,control,female,2021-03-05,2021-06-08,95
35,ptsd5_11,0.61,0.0,1,34.97,3,20.97,10,38.13,17,41.1,24.0,37.11,31.0,control,female,2021-01-15,2021-06-08,144
36,ptsd5_61,1.64,3.78,1,36.48,3,21.87,10,5.26,17,19.19,24.0,26.64,31.0,control,female,2021-01-13,2021-06-08,146
37,ptsd5_81,1.74,17.7,1,50.73,3,13.9,10,19.67,17,16.22,24.0,18.99,31.0,control,female,2021-04-09,2021-06-08,60
38,ptsd5_2,60.43,52.11,1,64.88,3,54.36,10,56.88,17,43.78,24.0,42.61,31.0,sefl,female,2021-03-05,2021-06-08,95
39,ptsd5_84,65.94,70.83,1,74.86,3,31.62,10,41.72,17,31.14,24.0,22.1,31.0,sefl,female,2021-04-09,2021-06-08,60
40,ptsd5_3,62.41,50.77,1,50.71,3,47.59,10,23.9,17,36.76,24.0,35.58,31.0,sefl,female,2021-03-05,2021-06-08,95
41,ptsd5_4,43.31,20.57,1,52.23,3,28.55,10,45.25,17,39.13,24.0,36.83,31.0,sefl,female,2021-03-05,2021-06-08,95
