freezing,freezing_1s,freezing_1.5s,freezing_1_75s,cohort_id,id,day,condition,sex,cohort,reexposure_mins,duration,days_since_sefla
3.51,,,,5HT2Afl05a-5,5HT2Afl05a-5,sefla,control,male,ptsd1,NA,60,0
3.08,,,,5HT2Afl05a-7,5HT2Afl05a-7,sefla,control,male,ptsd1,NA,60,0
0.8,,,,5HT2ACre01a-3,5HT2ACre01a-3,sefla,control,male,ptsd1,NA,60,0
0.7,,,,sert26a-3,sert26a-3,sefla,control,male,ptsd1,NA,60,0
45.13,,,,5HT2Afl5a-6,5HT2Afl5a-6,sefla,ptsd,male,ptsd1,NA,60,0
38.13,,,,5HT2ACre01a-2,5HT2ACre01a-2,sefla,ptsd,male,ptsd1,NA,60,0
69.56,,,,sert26a-2,sert26a-2,sefla,ptsd,male,ptsd1,NA,60,0
59.66,,,,5HT2ACre01a-1,5HT2ACre01a-1,sefla,ptsd,male,ptsd1,NA,60,0
8.94,,,,5HT2Afl05a-5,5HT2Afl05a-5,seflb,control,male,ptsd1,NA,3,1
4.53,,,,5HT2Afl05a-7,5HT2Afl05a-7,seflb,control,male,ptsd1,NA,3,1
2.52,,,,5HT2ACre01a-3,5HT2ACre01a-3,seflb,control,male,ptsd1,NA,3,1
2.14,,,,sert26a-3,sert26a-3,seflb,control,male,ptsd1,NA,3,1
13.35,,,,5HT2Afl5a-6,5HT2Afl5a-6,seflb,ptsd,male,ptsd1,NA,3,1
9.45,,,,5HT2ACre01a-2,5HT2ACre01a-2,seflb,ptsd,male,ptsd1,NA,3,1
17.38,,,,sert26a-2,sert26a-2,seflb,ptsd,male,ptsd1,NA,3,1
11.34,,,,5HT2ACre01a-1,5HT2ACre01a-1,seflb,ptsd,male,ptsd1,NA,3,1
43.1,,,,5HT2Afl05a-5,5HT2Afl05a-5,recall1,control,male,ptsd1,0,5,2
35.53,,,,5HT2Afl05a-7,5HT2Afl05a-7,recall1,control,male,ptsd1,0,5,2
30.1,,,,5HT2ACre01a-3,5HT2ACre01a-3,recall1,control,male,ptsd1,0,5,2
44.88,,,,sert26a-3,sert26a-3,recall1,control,male,ptsd1,0,5,2
52.36,,,,5HT2Afl5a-6,5HT2Afl5a-6,recall1,ptsd,male,ptsd1,0,5,2
41.32,,,,5HT2ACre01a-2,5HT2ACre01a-2,recall1,ptsd,male,ptsd1,0,5,2
64.2,,,,sert26a-2,sert26a-2,recall1,ptsd,male,ptsd1,0,5,2
46.75,,,,5HT2ACre01a-1,5HT2ACre01a-1,recall1,ptsd,male,ptsd1,0,5,2
