t(sec),motion_index,freeze,cohort_id,day
0.57,122.88,0.0,ptsd2_91,recall1
0.8,186.29,0.0,ptsd2_91,recall1
1.07,393.09,0.0,ptsd2_91,recall1
1.34,215.13,0.0,ptsd2_91,recall1
1.6,125.65,0.0,ptsd2_91,recall1
1.87,147.18,0.0,ptsd2_91,recall1
2.13,394.72,0.0,ptsd2_91,recall1
2.4,272.12,0.0,ptsd2_91,recall1
2.67,50.89,0.0,ptsd2_91,recall1
2.94,251.72,0.0,ptsd2_91,recall1
3.2,244.36,0.0,ptsd2_91,recall1
3.47,56.35,0.0,ptsd2_91,recall1
3.74,14.84,1.0,ptsd2_91,recall1
4.01,2.69,1.0,ptsd2_91,recall1
4.27,3.7,1.0,ptsd2_91,recall1
4.54,2.62,1.0,ptsd2_91,recall1
4.8,3.0,1.0,ptsd2_91,recall1
5.07,2.45,1.0,ptsd2_91,recall1
5.34,9.91,1.0,ptsd2_91,recall1
5.61,4.53,1.0,ptsd2_91,recall1
5.87,7.48,1.0,ptsd2_91,recall1
6.14,286.09,0.0,ptsd2_91,recall1
6.41,254.05,0.0,ptsd2_91,recall1
6.67,221.4,0.0,ptsd2_91,recall1
6.94,178.43,0.0,ptsd2_91,recall1
7.21,235.86,0.0,ptsd2_91,recall1
7.47,412.84,0.0,ptsd2_91,recall1
7.74,273.06,0.0,ptsd2_91,recall1
8.01,211.85,0.0,ptsd2_91,recall1
8.28,322.24,0.0,ptsd2_91,recall1
8.54,315.13,0.0,ptsd2_91,recall1
8.81,349.05,0.0,ptsd2_91,recall1
9.08,292.75,0.0,ptsd2_91,recall1
9.34,260.86,0.0,ptsd2_91,recall1
9.61,212.53,0.0,ptsd2_91,recall1
9.88,294.69,0.0,ptsd2_91,recall1
10.14,138.01,0.0,ptsd2_91,recall1
10.41,170.35,0.0,ptsd2_91,recall1
10.68,210.11,0.0,ptsd2_91,recall1
10.95,261.11,0.0,ptsd2_91,recall1
11.21,283.68,0.0,ptsd2_91,recall1
11.48,321.74,0.0,ptsd2_91,recall1
11.75,337.82,0.0,ptsd2_91,recall1
12.01,365.01,0.0,ptsd2_91,recall1
12.28,221.95,0.0,ptsd2_91,recall1
12.55,597.72,0.0,ptsd2_91,recall1
12.81,351.12,0.0,ptsd2_91,recall1
13.08,236.44,0.0,ptsd2_91,recall1
13.35,718.23,0.0,ptsd2_91,recall1
13.61,582.52,0.0,ptsd2_91,recall1
13.88,56.12,0.0,ptsd2_91,recall1
14.15,974.79,0.0,ptsd2_91,recall1
14.41,24.23,1.0,ptsd2_91,recall1
14.68,755.03,0.0,ptsd2_91,recall1
14.95,832.94,0.0,ptsd2_91,recall1
15.22,13.53,1.0,ptsd2_91,recall1
15.48,138.22,0.0,ptsd2_91,recall1
15.75,91.67,0.0,ptsd2_91,recall1
16.02,16.33,1.0,ptsd2_91,recall1
16.28,5.13,1.0,ptsd2_91,recall1
16.55,2.82,1.0,ptsd2_91,recall1
16.82,10.4,1.0,ptsd2_91,recall1
17.09,129.49,0.0,ptsd2_91,recall1
17.35,14.26,1.0,ptsd2_91,recall1
17.62,539.13,0.0,ptsd2_91,recall1
17.89,377.1,0.0,ptsd2_91,recall1
18.15,223.7,0.0,ptsd2_91,recall1
18.42,276.64,0.0,ptsd2_91,recall1
18.69,143.42,0.0,ptsd2_91,recall1
18.95,217.0,0.0,ptsd2_91,recall1
19.22,297.21,0.0,ptsd2_91,recall1
19.49,374.91,0.0,ptsd2_91,recall1
19.75,482.14,0.0,ptsd2_91,recall1
20.02,425.64,0.0,ptsd2_91,recall1
20.29,262.92,0.0,ptsd2_91,recall1
20.56,167.36,0.0,ptsd2_91,recall1
20.82,206.52,0.0,ptsd2_91,recall1
21.09,355.96,0.0,ptsd2_91,recall1
21.35,308.5,0.0,ptsd2_91,recall1
21.62,442.92,0.0,ptsd2_91,recall1
21.89,238.52,0.0,ptsd2_91,recall1
22.16,302.88,0.0,ptsd2_91,recall1
22.42,29.8,0.0,ptsd2_91,recall1
22.69,56.67,0.0,ptsd2_91,recall1
22.96,173.13,0.0,ptsd2_91,recall1
23.22,292.49,0.0,ptsd2_91,recall1
23.49,417.72,0.0,ptsd2_91,recall1
23.76,405.1,0.0,ptsd2_91,recall1
24.03,112.32,0.0,ptsd2_91,recall1
24.29,11.31,1.0,ptsd2_91,recall1
24.56,7.71,1.0,ptsd2_91,recall1
24.83,2.27,1.0,ptsd2_91,recall1
25.09,2.35,1.0,ptsd2_91,recall1
25.36,2.28,1.0,ptsd2_91,recall1
25.63,12.22,1.0,ptsd2_91,recall1
25.89,156.62,0.0,ptsd2_91,recall1
26.16,261.08,0.0,ptsd2_91,recall1
26.43,404.22,0.0,ptsd2_91,recall1
26.69,278.72,0.0,ptsd2_91,recall1
26.96,97.27,0.0,ptsd2_91,recall1
27.23,320.54,0.0,ptsd2_91,recall1
27.5,194.27,0.0,ptsd2_91,recall1
27.76,331.69,0.0,ptsd2_91,recall1
28.03,133.03,0.0,ptsd2_91,recall1
28.3,25.84,1.0,ptsd2_91,recall1
28.56,370.01,0.0,ptsd2_91,recall1
28.83,16.8,1.0,ptsd2_91,recall1
29.1,2.22,1.0,ptsd2_91,recall1
29.36,17.88,1.0,ptsd2_91,recall1
29.63,2.67,1.0,ptsd2_91,recall1
29.9,4.97,1.0,ptsd2_91,recall1
30.17,424.76,0.0,ptsd2_91,recall1
30.43,196.67,0.0,ptsd2_91,recall1
30.7,187.85,0.0,ptsd2_91,recall1
30.97,221.77,0.0,ptsd2_91,recall1
31.23,157.57,0.0,ptsd2_91,recall1
31.5,129.35,0.0,ptsd2_91,recall1
31.77,114.99,0.0,ptsd2_91,recall1
32.03,319.56,0.0,ptsd2_91,recall1
32.3,133.37,0.0,ptsd2_91,recall1
32.57,59.92,0.0,ptsd2_91,recall1
32.84,364.55,0.0,ptsd2_91,recall1
33.1,10.5,1.0,ptsd2_91,recall1
33.37,18.67,1.0,ptsd2_91,recall1
