freezing_1s,freezing,genotype,id,day,condition,sex,cohort,exposure_mins,analyzed_duration,date,time,els,psilocybin,cohort_id,dob,age_at_sefla,young,Age
2.476,5.03,wt,81,SEFLA,control,male,ptsd2,60.0,60.0,2021-04-28,11:59 AM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
0.445,0.45,wt,81,SEFLB,control,male,ptsd2,3.5,3.5,2021-04-29,4:40 PM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
3.92,8.28,wt,81,Recall 1,control,male,ptsd2,5.0,5.0,2021-04-30,1:37 PM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
3.114,7.12,wt,81,Recall 2,control,male,ptsd2,5.0,5.0,2021-05-03,10:17 AM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
3.032,7.57,wt,81,Recall 3,control,male,ptsd2,5.0,5.0,2021-05-05,10:04 AM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
3.042,6.61,wt,81,Recall 4,control,male,ptsd2,5.0,5.0,2021-05-19,10:24 AM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
1.778,3.92,wt,81,recall5,control,male,ptsd2,5.0,5.0,2021-06-02,10:03 AM,n,n,ptsd2_81,2021-02-16,10.142857142857142,True,Young Adult
5.821,8.83,wt,82,SEFLA,control,male,ptsd2,60.0,60.0,2021-04-28,11:59 AM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
1.89,4.2,wt,82,SEFLB,control,male,ptsd2,3.5,3.5,2021-04-29,5:09 PM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
25.062,28.8,wt,82,Recall 1,control,male,ptsd2,5.0,5.0,2021-04-30,2:00 PM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
6.766,11.14,wt,82,Recall 2,control,male,ptsd2,5.0,5.0,2021-05-03,10:43 AM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
1.43,3.22,wt,82,Recall 3,control,male,ptsd2,5.0,5.0,2021-05-05,10:27 AM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
2.237136465,2.24,wt,82,Recall 4,control,male,ptsd2,5.0,5.0,2021-05-19,10:53 AM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
0.892,3.74,wt,82,recall5,control,male,ptsd2,5.0,5.0,2021-06-02,10:29 AM,n,n,ptsd2_82,2021-02-16,10.142857142857142,True,Young Adult
1.023833333,2.6,wt,91,SEFLA,control,male,ptsd2,60.0,60.0,2021-04-28,11:59 AM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
1.68,2.73,wt,91,SEFLB,control,male,ptsd2,3.5,3.5,2021-04-29,4:40 PM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
12.476,14.97,wt,91,Recall 1,control,male,ptsd2,5.0,5.0,2021-04-30,1:37 PM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
9.72,11.68,wt,91,Recall 2,control,male,ptsd2,5.0,5.0,2021-05-03,10:17 AM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
5.612,9.8,wt,91,Recall 3,control,male,ptsd2,5.0,5.0,2021-05-05,10:04 AM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
3.74,7.3,wt,91,Recall 4,control,male,ptsd2,5.0,5.0,2021-05-19,10:24 AM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
1.424,4.0,wt,91,recall5,control,male,ptsd2,5.0,5.0,2021-06-02,10:03 AM,n,n,ptsd2_91,2021-02-16,10.142857142857142,True,Young Adult
0.5855,1.91,wt,92,SEFLA,control,male,ptsd2,60.0,60.0,2021-04-28,11:59 AM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
1.89,2.53,wt,92,SEFLB,control,male,ptsd2,3.5,3.5,2021-04-29,5:09 PM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
9.964,14.42,wt,92,Recall 1,control,male,ptsd2,5.0,5.0,2021-04-30,2:00 PM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
1.424,3.11,wt,92,Recall 2,control,male,ptsd2,5.0,5.0,2021-05-03,10:43 AM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
0.358,2.94,wt,92,Recall 3,control,male,ptsd2,5.0,5.0,2021-05-05,10:27 AM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
12.664,14.89,wt,92,Recall 4,control,male,ptsd2,5.0,5.0,2021-05-19,10:53 AM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
0.0,22.82,wt,92,recall5,control,male,ptsd2,5.0,5.0,2021-06-02,11:03 AM,n,n,ptsd2_92,2021-02-16,10.142857142857142,True,Young Adult
49.85333333,50.64,wt,84,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,1:24 PM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
7.4125,10.14,wt,84,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,5:09 PM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
21.824,25.39,wt,84,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,2:00 PM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
23.13,27.24,wt,84,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,10:43 AM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
7.764,11.23,wt,84,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:27 AM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
2.232,5.62,wt,84,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,10:53 AM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
0.0,17.64,wt,84,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:29 AM,n,n,ptsd2_84,2021-02-16,10.142857142857142,True,Young Adult
37.60533333,39.63,wt,93,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,1:24 PM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
4.84,8.63,wt,93,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,4:40 PM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
19.768,24.05,wt,93,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,1:37 PM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
10.27,15.98,wt,93,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,10:17 AM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
9.192,17.3,wt,93,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:04 AM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
4.188,7.4,wt,93,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,10:24 AM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
4.372,8.82,wt,93,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:03 AM,n,n,ptsd2_93,2021-02-16,10.142857142857142,True,Young Adult
46.2205,47.82,wt,94,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,1:24 PM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
14.9975,18.26,wt,94,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,5:09 PM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
34.582,38.23,wt,94,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,2:00 PM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
13.82,19.08,wt,94,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,10:43 AM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
3.204,6.23,wt,94,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:27 AM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
8.378,11.68,wt,94,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,10:53 AM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
15.954,0.44,wt,94,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:29 AM,n,n,ptsd2_94,2021-02-16,10.142857142857142,True,Young Adult
27.72583333,31.65,wt,85,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,2:42 PM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
14.88,18.38,wt,85,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,5:28 PM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
29.758,31.89,wt,85,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,2:17 PM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
13.27,18.97,wt,85,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,11:04 AM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
9.608938547,9.61,wt,85,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:43 AM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
13.41077086,13.41,wt,85,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,11:13 AM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
0.716,2.41,wt,85,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:49 AM,n,n,ptsd2_85,2021-02-16,10.142857142857142,True,Young Adult
47.61733333,48.94,wt,95,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,2:42 PM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
14.525,15.39,wt,95,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,5:28 PM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
49.51024043,49.51,wt,95,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,2:17 PM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
26.59974906,26.6,wt,95,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,11:04 AM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
18.106,21.4,wt,95,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:43 AM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
22.79957582,22.8,wt,95,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,11:13 AM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
14.88,4.19,wt,95,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:49 AM,n,n,ptsd2_95,2021-02-16,10.142857142857142,True,Young Adult
52.6045,54.36,wt,83,SEFLA,sefl,male,ptsd2,60.0,60.0,2021-04-28,2:42 PM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
12.91,16.9,wt,83,SEFLB,sefl,male,ptsd2,3.5,3.5,2021-04-29,4:40 PM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
